Price,Close,High,Low,Open,Volume,Returns,Volatility,MA_5,MA_10,Crash
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,
Date,,,,,,,,,,
2000-01-18,1455.1400146484375,1465.1500244140625,1451.300048828125,1465.1500244140625,1056700000,-0.00683207152771137,0.017739983320025726,1448.1560302734374,1434.4830078125,0
2000-01-19,1455.9000244140625,1461.3900146484375,1448.6800537109375,1455.1400146484375,1087800000,0.0005222932212531894,0.011549798629843249,1451.6240234375,1440.131005859375,0
2000-01-20,1445.5699462890625,1465.7099609375,1438.5400390625,1455.9000244140625,1100700000,-0.007095321074094607,0.01207233655876583,1454.2880126953125,1444.477001953125,0
2000-01-21,1441.3599853515625,1453.1800537109375,1439.5999755859375,1445.5699462890625,1209800000,-0.0029123190810015354,0.012210642338296466,1452.6239990234376,1448.2680053710938,0
2000-01-24,1401.530029296875,1454.0899658203125,1395.4200439453125,1441.3599853515625,1115800000,-0.027633593591799732,0.01234480549506855,1439.9,1444.2740112304687,1
2000-01-25,1410.030029296875,1414.260009765625,1388.489990234375,1401.530029296875,1073700000,0.006064800483985611,0.01179657947174395,1430.8780029296875,1439.5170166015625,0
2000-01-26,1404.0899658203125,1412.72998046875,1400.1600341796875,1410.030029296875,1117300000,-0.00421272125638672,0.01130011158035332,1420.5159912109375,1436.0700073242188,0
2000-01-27,1398.56005859375,1418.8599853515625,1370.989990234375,1404.0899658203125,1129500000,-0.00393842799334565,0.011292090907181676,1411.114013671875,1432.7010131835937,0
2000-01-28,1360.1600341796875,1398.56005859375,1356.199951171875,1398.56005859375,1095800000,-0.027456829027902918,0.012527805802886451,1394.8740234375,1423.7490112304688,1
2000-01-31,1394.4599609375,1394.47998046875,1350.1400146484375,1360.1600341796875,993800000,0.025217566974388372,0.015261318652322935,1393.460009765625,1416.6800048828125,0
2000-02-01,1409.280029296875,1412.489990234375,1384.7900390625,1394.4599609375,981000000,0.01062781920924527,0.01598798193262217,1393.310009765625,1412.0940063476562,0
2000-02-02,1409.1199951171875,1420.6099853515625,1403.489990234375,1409.280029296875,1038600000,-0.00011355740261742575,0.015973313867903377,1394.316015625,1407.4160034179688,0
2000-02-03,1424.969970703125,1425.780029296875,1398.52001953125,1409.1199951171875,1146500000,0.011248137590027962,0.016513426874221422,1399.597998046875,1405.356005859375,0
2000-02-04,1424.3699951171875,1435.9100341796875,1420.6300048828125,1424.969970703125,1045100000,-0.000421044371651913,0.016505373269878026,1412.439990234375,1403.6570068359374,0
2000-02-07,1424.239990234375,1427.1500244140625,1413.3299560546875,1424.3699951171875,918100000,-9.127184878798822e-05,0.013625421717665311,1418.39599609375,1405.9280029296874,0
2000-02-08,1441.719970703125,1441.8299560546875,1424.239990234375,1424.239990234375,1047700000,0.012273198750635705,0.013983519909948647,1424.883984375,1409.0969970703125,0
